epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.454,1.44364,1.16132,1.02965,0.94275,0.96379,0.97014,0.71836,0.96282,21.5218,0.89574,0.000555411,0.000555411,0.000555411
2,1169.56,0.99452,0.60775,0.89387,0.95723,0.96908,0.9862,0.7921,0.75747,22.2243,0.84479,0.000891085,0.000891085,0.000891085
3,1758.42,0.86011,0.52863,0.86343,0.96094,0.96786,0.98772,0.81821,0.66798,23.5603,0.82518,0.00100671,0.00100671,0.00100671
4,2365.52,0.77814,0.48704,0.84752,0.96574,0.96774,0.98995,0.85216,0.57999,27.3461,0.80901,0.000676802,0.000676802,0.000676802
5,2984.92,0.71034,0.45688,0.83422,0.96511,0.97333,0.99135,0.87383,0.5245,22.3449,0.80009,0.000346736,0.000346736,0.000346736
