epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.639,1.35234,1.02529,1.00418,0.95419,0.96657,0.98181,0.76499,0.83551,16.6905,0.86438,0.000555411,0.000555411,0.000555411
2,759.97,0.91583,0.56643,0.87356,0.9588,0.97264,0.98869,0.82151,0.66205,21.7346,0.82315,0.00108908,0.00108908,0.00108908
3,1143.16,0.815,0.50987,0.85252,0.95636,0.95865,0.9911,0.84028,0.6261,24.0815,0.81419,0.00160074,0.00160074,0.00160074
4,1505.45,0.76626,0.47296,0.84293,0.95836,0.94502,0.99104,0.86736,0.54781,24.0332,0.80139,0.00156798,0.00156798,0.00156798
5,1867.4,0.72186,0.44853,0.83349,0.98224,0.97569,0.99218,0.87982,0.51812,4.89515,0.79669,0.00153497,0.00153497,0.00153497
6,2230.87,0.6788,0.4251,0.82724,0.97553,0.97975,0.99362,0.88754,0.4946,0.80864,0.79221,0.00150197,0.00150197,0.00150197
7,2593.55,0.65552,0.40923,0.82393,0.9891,0.98776,0.99406,0.90056,0.47315,0.76744,0.79019,0.00146896,0.00146896,0.00146896
8,2954.49,0.63376,0.39568,0.82086,0.98805,0.98527,0.99374,0.90294,0.45559,0.33204,0.78781,0.00143595,0.00143595,0.00143595
9,3313.93,0.61447,0.38371,0.81758,0.99184,0.99127,0.99408,0.91229,0.43927,0.40699,0.78515,0.00140295,0.00140295,0.00140295
10,3674.8,0.59872,0.37537,0.81556,0.99222,0.99182,0.99439,0.91936,0.42404,0.29297,0.78324,0.00136994,0.00136994,0.00136994
11,4037.4,0.58492,0.36549,0.81324,0.99354,0.99364,0.99431,0.92317,0.40885,0.28713,0.7808,0.00133693,0.00133693,0.00133693
12,4396.17,0.57069,0.35694,0.81137,0.98959,0.98985,0.99417,0.92488,0.40403,0.27326,0.77986,0.00130393,0.00130393,0.00130393
13,4759.25,0.55987,0.3472,0.80964,0.99523,0.99407,0.99424,0.92597,0.39789,0.27215,0.77933,0.00127092,0.00127092,0.00127092
14,5117.75,0.55,0.33864,0.80874,0.99093,0.99026,0.99419,0.92964,0.40124,0.57752,0.77971,0.00123791,0.00123791,0.00123791
15,5476.93,0.54162,0.33062,0.80711,0.99678,0.99702,0.99427,0.93966,0.37141,0.24967,0.776,0.00120491,0.00120491,0.00120491
16,5855.48,0.53188,0.32748,0.80656,0.99021,0.99027,0.99397,0.93956,0.37297,0.26171,0.77635,0.0011719,0.0011719,0.0011719
17,6231.34,0.52252,0.32483,0.8052,0.99479,0.99329,0.99398,0.94011,0.36384,0.25463,0.77495,0.00113889,0.00113889,0.00113889
18,6597.51,0.508,0.31429,0.80303,0.98576,0.98753,0.9935,0.94374,0.35218,0.25,0.77395,0.00110589,0.00110589,0.00110589
19,6961.58,0.50374,0.30862,0.80338,0.99315,0.99402,0.99428,0.94577,0.35135,0.24924,0.77366,0.00107288,0.00107288,0.00107288
20,7340.75,0.49595,0.30654,0.80178,0.99651,0.99697,0.99435,0.9495,0.34017,0.23947,0.77259,0.00103987,0.00103987,0.00103987
21,7712.61,0.49002,0.29928,0.80091,0.99385,0.99464,0.99422,0.95111,0.34065,0.2342,0.77265,0.00100687,0.00100687,0.00100687
22,8089.41,0.4804,0.29653,0.79967,0.996,0.99631,0.99441,0.95291,0.33419,0.22704,0.77187,0.000973861,0.000973861,0.000973861
23,8460.55,0.47348,0.29016,0.79883,0.997,0.99721,0.99438,0.95646,0.33037,0.22687,0.77131,0.000940855,0.000940855,0.000940855
24,8831.55,0.47482,0.29429,0.79954,0.99375,0.99452,0.99412,0.95507,0.32693,0.23467,0.77088,0.000907848,0.000907848,0.000907848
25,9200.65,0.45927,0.28449,0.79735,0.99705,0.99691,0.99449,0.96017,0.31392,0.23097,0.77022,0.000874842,0.000874842,0.000874842
26,9632.02,0.45194,0.28059,0.79687,0.99646,0.99682,0.99446,0.95936,0.31585,0.21698,0.76978,0.000841835,0.000841835,0.000841835
27,10091,0.4531,0.27983,0.79656,0.99238,0.99368,0.99428,0.95871,0.31367,0.22462,0.76961,0.000808828,0.000808828,0.000808828
