epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,610.887,1.39754,1.13208,1.03087,0.92832,0.89558,0.95098,0.64168,1.17036,19.7689,0.97399,0.000555411,0.000555411,0.000555411
2,1170.46,0.94843,0.59579,0.88801,0.94734,0.95065,0.9775,0.71591,0.98786,25.3006,0.90544,0.00100108,0.00100108,0.00100108
3,1730.77,0.81646,0.51331,0.85592,0.95011,0.94876,0.98054,0.7509,0.89305,23.0195,0.89291,0.00133673,0.00133673,0.00133673
4,2310.5,0.73194,0.47232,0.83915,0.95282,0.95446,0.98297,0.74857,0.93853,11.614,0.90449,0.0011719,0.0011719,0.0011719
5,2886.42,0.66958,0.43156,0.82678,0.96716,0.94198,0.9872,0.79663,0.79648,2.58887,0.86176,0.00100687,0.00100687,0.00100687
6,3454.09,0.6227,0.40044,0.81899,0.96867,0.95717,0.98811,0.79316,0.82181,0.63832,0.8708,0.000841835,0.000841835,0.000841835
7,4009.8,0.57795,0.38214,0.81143,0.96883,0.95873,0.99054,0.79355,0.85708,0.46246,0.8863,0.000676802,0.000676802,0.000676802
8,4572.36,0.54715,0.36248,0.80646,0.97093,0.96445,0.99207,0.78252,0.88379,0.44955,0.88571,0.000511769,0.000511769,0.000511769
9,5126.88,0.51283,0.34157,0.80062,0.9707,0.96932,0.99132,0.77398,0.91537,0.46474,0.90096,0.000346736,0.000346736,0.000346736
10,5676.16,0.47293,0.32365,0.7962,0.97884,0.97399,0.99257,0.78224,0.90358,0.43634,0.90371,0.000181703,0.000181703,0.000181703
